"Daily Weather Observations for Canberra, Australian Capital Territory for January 2019",,,,,,,,,,,,,,,,,,,,
Prepared at 16:01 UTC on Wednesday  7 August 2019   IDCJDW2801.201901,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum temperature,Maximum temperature,Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature,9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature,3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/01/2019,13.7,35.3,0,,,E,35,19:21,23.8,49,,NNW,4,1012.7,33.7,26,,W,17,1009.1
2/01/2019,18,35.9,0,,,ENE,52,17:01,25.1,57,,NNW,4,1011.1,33.8,24,,WNW,26,1007.7
3/01/2019,18.4,35.3,0,,,NE,37,19:10,23.4,64,7,ESE,6,1013.4,32.3,32,,NE,11,1009.8
4/01/2019,17.2,38.1,0,,,NW,46,12:43,26.2,51,,NW,2,1013.2,36.3,24,2,WNW,20,1008.8
5/01/2019,21.1,36.7,0,,,NNW,74,12:40,31.1,36,,NW,30,1008.6,32.6,29,8,WNW,35,1004.9
6/01/2019,13.4,25,7,,,E,43,19:17,17,70,7,SE,15,1015.9,24.3,44,1,ENE,22,1015.2
7/01/2019,14.8,24.1,0,,,NE,33,15:06,17.3,72,8,ENE,9,1019.2,23.1,58,8,NE,11,1016
8/01/2019,16.8,30.7,11.2,,,NNW,83,15:41,20.2,86,1,SSE,7,1013,29.6,44,4,NNW,22,1008.2
9/01/2019,13.7,30.7,9.4,,,E,46,17:41,18.6,84,2,SW,2,1011.9,29.9,26,1,NW,20,1009.9
10/01/2019,16.4,27.5,0,,,ENE,50,16:47,19.8,71,8,NNE,9,1016.7,26,52,,NE,13,1014.5
11/01/2019,17.6,29.4,0,,,N,70,13:23,21.2,71,7,NE,9,1018.2,21.5,67,8,N,26,1014.6
12/01/2019,13.7,34.2,2.2,,,NNW,31,15:00,22.1,69,,N,11,1016.2,33.5,32,,NNW,11,1014.2
13/01/2019,16,29.1,0,,,E,44,16:58,22.3,38,2,ESE,9,1019.6,27.9,44,,NE,20,1017.6
14/01/2019,16,36.4,0,,,NNW,46,14:36,21.3,70,7,NNE,4,1018,33.9,33,,NW,28,1013
15/01/2019,18.7,40.1,0,,,WNW,50,12:36,27.8,45,,N,7,1013,39,10,,W,30,1009.5
16/01/2019,20.1,41.6,0,,,SSW,44,16:25,29.5,37,,SSE,9,1011.7,39.6,10,,NW,11,1008.6
17/01/2019,17.1,41.4,0,,,NNW,52,15:35,27.7,38,,SE,9,1012.2,39.6,19,,WNW,22,1007.9
18/01/2019,20.5,40.1,11.2,,,NNW,74,18:08,25.1,53,,SSW,7,1012.3,39,21,,NNW,33,1007.5
19/01/2019,21.4,36,1,,,E,48,17:41,24.5,74,,N,7,1015.4,33.9,32,4,NW,13,1014.1
20/01/2019,17.1,35.1,0,,,ENE,48,17:55,18.7,75,8,ESE,13,1020.4,32.2,33,,NNE,6,1015.5
21/01/2019,16.9,34.3,0,,,NE,43,15:05,22.1,68,1,SE,4,1018.4,32.2,35,2,N,26,1013.8
22/01/2019,16.9,38.4,0,,,NW,52,12:39,24.6,55,,WSW,6,1015.6,36.6,25,,NW,24,1011.2
23/01/2019,19.7,35.4,2,,,E,52,13:07,26.1,61,,NW,6,1012.3,24.2,73,8,E,20,1010.9
24/01/2019,14.9,32,4.2,,,E,35,16:08,19.3,76,8,SE,9,1017,29.9,45,1,ENE,11,1013.5
25/01/2019,15.9,39.4,0,,,NW,48,10:20,22.4,71,,ESE,6,1013.9,37.2,24,,NNW,24,1009.3
26/01/2019,20.5,41.5,0,,,NW,63,15:11,30.9,37,,SW,6,1009,40.7,17,,NW,26,1005.2
27/01/2019,21.2,31.2,7.2,,,WSW,50,13:13,24.7,67,4,N,9,1009.1,28.9,36,8,W,24,1010.5
28/01/2019,20,26.1,0,,,E,28,5:14,21.8,76,6,ENE,13,1015.6,24.5,59,6,W,20,1015.4
29/01/2019,19.1,35.7,3.2,,,ENE,39,19:29,23.2,74,,N,4,1013.8,33.4,37,1,NNW,19,1010.8
30/01/2019,19,37.1,2.6,,,N,69,17:12,24.1,67,,SE,6,1012.8,35.3,26,7,NNW,28,1008.3
31/01/2019,22.2,35.2,0,,,ENE,57,18:19,28.1,41,,NW,26,1009.1,34.1,31,,WNW,31,1007.6
