"Daily Weather Observations for Canberra, Australian Capital Territory for August 2019",,,,,,,,,,,,,,,,,,,,
Prepared at 13:00 UTC on Monday  2 September 2019   IDCJDW2801.201908,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum temperature,Maximum temperature,Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature,9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature,3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/08/2019,-3.8,14.6,0,,,NW,28,12:55,2.4,83,,N,4,1032,14.1,48,,NW,20,1028.7
2/08/2019,0,15.2,0,,,NNW,30,13:39,6.8,73,,N,6,1032.8,14.9,39,,NNW,19,1029.3
3/08/2019,-0.9,13.3,0,,,N,33,16:23,4.6,98,8,NW,9,1030.9,12.3,57,,N,20,1027
4/08/2019,0.4,13.6,0,,,NW,24,17:00,1.4,93,8,SE,7,1031.1,12.3,53,2,NNW,15,1026.9
5/08/2019,0.9,11.9,0,,,N,33,13:18,5.9,93,7, ,Calm,1026.4,11,55,,N,20,1023.5
6/08/2019,-2.5,12.9,0,,,N,35,18:44,2.5,97,8,NE,7,1023.1,12.3,49,,NNW,22,1018.3
7/08/2019,-5,16,0,,,NW,43,13:22,3,90,2, ,Calm,1016.2,14.4,32,,NNW,31,1010.9
8/08/2019,-3.5,12.6,3.2,,,WNW,63,15:24,5.7,93,8,NW,17,1005.1,10.3,55,1,NW,31,1002
9/08/2019,4.1,8.7,6.6,,,NNW,72,2:51,5,89,8,NNW,35,999,7,63,2,NW,35,1000.2
10/08/2019,0.8,8.8,3,,,W,52,14:03,3.5,87,4,NNW,19,1002.3,6.9,63,8,NW,30,1001
11/08/2019,2,10.7,1.6,,,NNW,46,4:43,4.1,88,8,NNW,26,1002.2,8.8,54,8,WNW,26,1005.1
12/08/2019,-1.6,13,0,,,NW,35,15:22,4.8,75,,NW,9,1020.7,12.2,52,,NNW,24,1020.3
13/08/2019,-1.7,12.7,0,,,N,31,15:31,3,92,8,SE,2,1027.7,11.9,55,,NNW,19,1025.1
14/08/2019,-4.1,10.2,0,,,N,24,15:04,0.9,99,8, ,Calm,1030.9,9.1,60,,NNW,13,1027.4
15/08/2019,-3.2,15.3,0.2,,,NNW,46,16:34,6.9,71,,ENE,9,1027,14.5,28,,WNW,31,1022.5
16/08/2019,-2.8,18.3,0,,,NW,52,13:34,5.5,76,, ,Calm,1021.6,16.5,30,,NNW,31,1016.5
17/08/2019,0.3,17.8,0,,,E,37,19:29,9.5,61,,SE,11,1021.4,16.2,35,,SE,2,1019
18/08/2019,-1.1,18.9,0,,,NW,70,19:46,4.9,99,8, ,Calm,1019.1,18.4,36,8,NW,15,1011.8
19/08/2019,2.6,9.4,2.4,,,WNW,56,13:15,5.7,73,7,NW,26,1016.3,8.5,49,6,WNW,31,1019
20/08/2019,2.7,13.2,0,,,WNW,61,20:39,7.7,63,,NW,30,1024,10.5,54,,NW,37,1022
21/08/2019,6.8,16.6,0,,,W,52,22:40,12.3,56,,W,30,1017,16.1,38,,WNW,30,1015.6
22/08/2019,9,16.1,0,,,W,54,3:00,13.5,42,,SW,24,1013.9,14.2,27,,SSE,28,1016.6
23/08/2019,-5.2,14.7,0,,,NNW,31,15:03,3.3,64,, ,Calm,1028.4,13.6,30,,NNW,19,1024.4
24/08/2019,-5.2,17.4,0,,,NW,56,13:49,8,60,, ,Calm,1022.1,16.4,32,,NW,31,1017.3
25/08/2019,0.1,18.3,0,,,N,46,14:36,11.7,43,,N,15,1018.1,16.1,27,,NNW,33,1017.4
26/08/2019,5.1,13.7,0,,,NE,26,16:53,8.5,67,7,S,11,1024.5,11.8,56,6,ESE,9,1022
27/08/2019,5,13.2,0.8,,,NE,20,18:44,7.3,88,8,SE,9,1025.5,12.7,57,8, ,Calm,1022.3
28/08/2019,1.6,17,0,,,WNW,44,15:24,7.8,88,,NNW,9,1022.8,15.7,31,,WNW,28,1017.5
29/08/2019,0.7,13.8,0,,,SSE,41,10:25,7,62,6,S,19,1025.9,12.4,42,8,ESE,19,1024.6
30/08/2019,1.3,14.5,0,,,SE,39,11:22,8,63,4,S,17,1029.3,13,46,6,ESE,13,1026.5
31/08/2019,0.6,17.2,0,,,NNE,26,13:14,8.7,70,7,SE,13,1028.4,16.2,37,,WNW,6,1022.8
