"Daily Weather Observations for Canberra, Australian Capital Territory for November 2018",,,,,,,,,,,,,,,,,,,,
Prepared at 13:01 UTC on Friday  9 August 2019   IDCJDW2801.201811,,,,,,,,,,,,,,,,,,,,
Copyright 2003 Commonwealth Bureau of Meteorology,,,,,,,,,,,,,,,,,,,,
Observations from Canberra Airport.,,,,,,,,,,,,,,,,,,,,
Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day.,,,,,,,,,,,,,,,,,,,,
Observations were drawn from Canberra Airport {station 070351},,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Date,Minimum temperature,Maximum temperature,Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature,9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature,3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
1/11/2018,8.1,34.2,0,,,NNW,52,15:23,17.7,66,,N,4,1022.4,31.2,20,,NNW,19,1016.7
2/11/2018,17.4,33.4,0,,,NW,74,13:23,24.9,30,7,NNW,28,1017.3,31.1,22,8,NW,44,1010.6
3/11/2018,15.9,27.5,1,,,NNW,56,23:15,19.6,30,,NW,28,1012.8,25.2,18,1,WNW,31,1012.4
4/11/2018,6.8,30.3,0,,,N,54,14:03,16.6,53,,NW,9,1015.1,28.1,18,,NNW,30,1009.1
5/11/2018,11.8,27.5,0,,,NW,57,15:33,17.7,43,8,S,7,1011.1,24.8,26,8,NNW,37,1009.3
6/11/2018,16,26.8,1.2,,,NW,54,14:08,19.2,81,8,NNW,13,1009.2,24.4,56,6,NW,35,1005.4
7/11/2018,14.8,18.1,7.6,,,NW,37,14:44,17.4,91,8,NNE,2,1004.8,13.7,95,7,NNW,24,1004.5
8/11/2018,4.1,19,9.8,,,N,37,16:26,10.1,60,1,SSE,4,1015.3,15.8,33,8,N,17,1015
9/11/2018,3.6,20.8,0,,,NW,52,12:14,10.8,66,1,N,6,1020.7,19,29,,W,26,1016.5
10/11/2018,3.2,24.2,0,,,E,43,19:35,14.3,46,, ,Calm,1018.7,21.3,22,7,W,13,1015.7
11/11/2018,5.6,26.5,0,,,E,50,18:18,14.7,57,,WSW,7,1020.8,25.8,23,,NW,17,1017.5
12/11/2018,8.6,29.5,0,,,NE,35,20:05,16.6,52,,WSW,9,1022.7,27.8,18,,NE,7,1017.5
13/11/2018,12.1,31.2,0,,,NNW,48,14:16,20,55,1,WSW,6,1018,29,20,6,NW,26,1013.9
14/11/2018,16.5,22,0,,,NNW,54,13:36,16.9,85,8,N,22,1015.7,17.2,90,8,NW,35,1014.6
15/11/2018,12.7,27.1,8.8,,,NNW,48,11:44,19.3,81,3,WNW,4,1018.2,21.8,55,3,NE,28,1016.5
16/11/2018,11.4,23.7,0.2,,,NE,35,18:47,14.5,65,8,SE,7,1021.2,22.2,35,,NE,9,1016.5
17/11/2018,11,21.9,0,,,ESE,46,16:50,17.7,58,8,SE,15,1019.3,20.8,42,6,ENE,24,1018.6
18/11/2018,10.7,22.2,0,,,E,46,11:43,15.5,51,,E,19,1023.4,21.1,40,7,ENE,24,1020.5
19/11/2018,10,26.1,0,,,ENE,43,18:51,15.9,48,2,NNE,11,1021.6,23.2,22,,N,11,1016
20/11/2018,9.7,30.2,0,,,NNW,41,11:11,18.3,62,,ESE,7,1013.2,28,25,2,WNW,19,1006.2
21/11/2018,16.3,23.7,12,,,NW,54,11:19,19.1,80,8,NW,26,1001.2,22.6,58,8,NW,26,999.4
22/11/2018,9.6,15.2,22.4,,,NW,74,13:34,9.8,61,8,NW,13,998.9,14.1,49,4,NW,41,996.7
23/11/2018,6.9,15.2,6.2,,,WNW,72,16:41,10.3,68,8,NW,35,998.3,10.8,72,8,WNW,31,1000.6
24/11/2018,8.7,20.8,0.4,,,W,57,15:01,15.1,52,,WNW,24,1002.4,19.8,43,7,WNW,35,1001.2
25/11/2018,5.5,23.1,0,,,SSW,50,14:59,13.9,66,,WNW,9,1002.3,22.7,33,2,WNW,15,998.7
26/11/2018,8,23.8,1,,,S,39,6:57,15.3,57,,S,26,1005.9,21.2,34,8,S,7,1004.7
27/11/2018,11.9,24.2,0.2,,,E,35,17:58,16.7,64,8,N,9,1006.4,23.8,31,2,W,9,1002.7
28/11/2018,13.6,18.2,7.8,,,SE,48,12:59,13.7,93,8,SSE,20,1001.8,15.4,73,8,SE,24,1003.7
29/11/2018,10.8,23.4,3.8,,,SSW,41,6:53,15.9,60,1,S,28,1010.7,22.2,33,2,W,9,1009.2
30/11/2018,13,25.9,0,,,NW,46,11:52,15.4,69,2,NNW,4,1011.9,25.4,29,1,WNW,26,1007.9
