Month,Females 15-24 unemployment rate (%),Females 25-34 unemployment rate (%),Females 35-44 unemployment rate (%),Females 45-54 unemployment rate (%),Females 55-64 unemployment rate (%),Females 65 and over unemployment rate (%)
Dec-78,15.5,5.3,4.4,3.6,2,-
Dec-79,14,6.7,4.3,3.5,2.7,1
Dec-80,13.8,6.4,3.7,3.5,2.9,1
Dec-81,13,5.9,4.7,3.4,2.2,1.8
Dec-82,17.1,7.8,6.1,4.7,2.8,0.8
Dec-83,16.1,8.9,6.4,4.4,2.7,0.4
Dec-84,15.3,6.9,5.9,4.6,3,1.2
Dec-85,14.6,7,5.6,4.6,3.4,1.6
Dec-86,15,6.7,5.5,4.9,3.2,0.8
Dec-87,14.1,6.9,5.6,4,3.5,0.7
Dec-88,13.2,6.5,4.8,3.8,3,0.9
Dec-89,11.1,5.7,4.1,4,3.2,1.1
Dec-90,14.6,6.6,4.8,4.2,3.2,1.9
Dec-91,17.7,8.6,6,6.1,3.8,1
Dec-92,17.8,9.3,6.7,6.2,3.7,1.5
Dec-93,17.5,8.8,7.7,6.4,5.6,1.1
Dec-94,14.6,8.1,6.4,6,5,1.7
Dec-95,14.5,6.8,5.7,4.5,4.5,1.2
Dec-96,15.5,7.6,5.9,5.8,4,1.3
Dec-97,14.2,6.4,5.7,4.9,4.3,1.4
Dec-98,12.5,6.3,5.2,4.4,3.7,1.2
Dec-99,11.4,5.3,5.4,3.7,3.3,0.8
Dec-00,11.3,5,4.5,3.5,3,0.7
1-Dec,12.4,6,5.1,4.5,2.9,1.3
2-Dec,10.9,5.7,4.7,3.5,3.2,0.7
3-Dec,11.6,5,4.7,3.5,3,0.9
4-Dec,10.6,4.2,4.1,2.8,2.7,0.8
5-Dec,9.9,4.4,3.7,3.2,2.5,1.4
6-Dec,9.6,4.2,3.5,2.9,2.6,1.2
7-Dec,8.8,4,3.5,2.8,2.2,1.1
8-Dec,8.8,4.5,3.8,3,2,1.2
9-Dec,10.3,5.4,4.1,3.4,3,1
10-Dec,10.5,5,4.1,3.6,2.5,1.2
11-Dec,11.9,4.5,4.5,3.3,3,1.1
12-Dec,10.8,5,4,3.9,2.9,1.1
13-Dec,11.7,4.9,4.3,3.7,3,1.2
14-Dec,12.7,5.3,5,4.3,3.3,1.6
15-Dec,10.7,5.1,5.2,4.4,3.5,1.4
16-Dec,11.7,4.9,4.8,3.9,3.2,1.2
17-Dec,10.6,4.7,4.2,3.8,3.7,1.1
